"","SYMBOL"
"911","ELOA3P"
"912","MIR4527HG"
"913","ACAA2"
"914","MAPK4"
"915","DCC"
"916","RELCH"
"917","DSEL-AS1"
"918","LOC105372174"
"919","MBP"
"920","LOC107985129"
"921","KCNG2"
"922","HCN2"
"923","POLRMT"
"924","LOC107987266"
"925","ARID3A"
"926","PEAK3"
"927","OAZ1"
"928","ZNF555"
"929","ZNF556"
"930","CREB3L3"
"931","PLIN3"
"932","ARRDC5"
"933","KDM4B"
"934","PTPRS"
"935","TIMM44"
"936","ANGPTL4"
"937","RAB11B-AS1"
"938","MYO1F"
"939","SMARCA4"
"940","LDLR"
"941","MIR6886"
"942","SPC24"
"943","OR10H2"
"944","OR1AB1P"
"945","LINC01855"
"946","TPM4"
"947","IL12RB1"
"948","LOC100420587"
"949","CHST8"
"950","FBXO17"
"951","CLC"
"952","FBL"
"953","DYRK1B"
"954","LOC107987267"
"955","ZNF780A"
"956","ZNF780B"
"957","AKT2"
"958","LOC107985289"
"959","RNU6-945P"
"960","C19orf47"
"961","ZNF221"
"962","RELB"
"963","CLASRP"
"964","RNU6-611P"
"965","PPP1R37"
"966","MARK4"
"967","EIF5AP3"
"968","NKPD1"
"969","LOC105372420"
"970","ERCC2"
"971","KLC3"
"972","SYMPK"
"973","NOVA2"
"974","LOC105372421"
"975","IGFL2"
"976","LOC105372424"
"977","IGFL1P2"
"978","PNMA8A"
"979","CGB5"
"980","NTF6B"
"981","SLC6A16"
"982","MIR4324"
"983","RCN3"
"984","PRR12"
"985","PTOV1"
"986","PTOV1-AS1"
"987","MYH14"
"988","KLK6"
"989","KLK5"
"990","LOC105372442"
"991","LIM2"
"992","C19orf84"
"993","LOC105372446"
"994","SIGLEC14"
"995","ZNF534"
"996","ZNF701"
"997","ZNF160"
"998","ZNF845"
"999","ZNF525"
"1000","ZNF765"
"1001","ZNF765-ZNF761"
"1002","CACNG8"
"1003","CACNG6"
"1004","MYT1L"
"1005","LINC01250"
"1006","EIPR1"
"1007","RNASEH1"
"1008","DCDC2C"
"1009","SOX11"
"1010","SILC1"
"1011","LOC105373436"
"1012","LOC105373484"
"1013","LINC00276"
"1014","KLHL29"
"1015","ATAD2B"
"1016","FAM228B"
"1017","ITSN2"
"1018","EFR3B"
"1019","RN7SL856P"
"1020","POMC"
"1021","DNMT3A"
"1022","DTNB"
"1023","ASXL2"
"1024","RAB10"
"1025","LOC105374333"
"1026","RMDN2"
"1027","RMDN2-AS1"
"1028","LOC107985872"
"1029","CYP1B1"
"1030","CYP1B1-AS1"
"1031","MAP4K3"
"1032","HNRNPA1P57"
"1033","CAMKMT"
"1034","PRKCE"
"1035","EPAS1"
"1036","NRXN1"
"1037","LOC730100"
"1038","LOC105374674"
"1039","WDPCP"
"1040","DNAAF10"
"1041","ARHGAP25"
"1042","ANTXR1"
"1043","C2orf42"
"1044","DYSF"
"1045","LOC105374798"
"1046","LRRTM4"
"1047","LOC101927967"
"1048","LOC101927948"
"1049","CTNNA2"
"1050","LOC107985905"
"1051","DNAH6"
"1052","LOC105374838"
"1053","KCMF1"
"1054","RMND5A"
"1055","RNF103-CHMP3"
"1056","NCK2"
"1057","CNTNAP5"
"1058","FAR2P1"
"1059","CCDC74B"
"1060","ACMSD"
"1061","CCNT2-AS1"
"1062","ZRANB3"
"1063","R3HDM1"
"1064","MIR128-1"
"1065","UBXN4"
"1066","LOC107985946"
"1067","GTDC1"
"1068","ACVR2A"
"1069","ORC4"
"1070","MBD5"
"1071","LOC105373673"
"1072","EPC2"
"1073","MMADHC-DT"
"1074","NMI"
"1075","LOC101929319"
"1076","RIF1"
"1077","NEB"
"1078","CACNB4"
"1079","FMNL2"
"1080","RPL23AP29"
"1081","LOC107985953"
"1082","TANC1"
"1083","METTL8"
"1084","LOC107985960"
"1085","LOC105373742"
"1086","NFE2L2"
"1087","MIR3128"
"1088","LOC100130691"
"1089","PDE11A"
"1090","PDE11A-AS1"
"1091","ITGA4"
"1092","ITPRID2-DT"
"1093","PDE1A"
"1094","LOC105373776"
"1095","LOC102724340"
"1096","ZNF804A"
"1097","FSIP2-AS2"
"1098","FSIP2"
"1099","FSIP2-AS1"
"1100","LOC107985782"
"1101","LOC107985783"
"1102","LINC01473"
"1103","ZC3H15"
"1104","DPRXP1"
"1105","ITGAV"
"1106","ZSWIM2"
"1107","COL5A2"
"1108","LOC101927252"
"1109","LINC01821"
"1110","LOC105373816"
"1111","LOC105376755"
"1112","HECW2"
"1113","CCDC150"
"1114","ANKRD44"
"1115","RFTN2"
"1116","PLCL1"
"1117","FAM117B"
"1118","WDR12"
"1119","LOC105373847"
"1120","NDUFS1"
"1121","DYTN"
"1122","VPS26CP1"
"1123","METTL21A"
"1124","PTH2R"
"1125","SCYGR7"
"1126","CCL20"
"1127","TRPM8"
"1128","KIF1A"
"1129","FARP2"
"1130","STK25"
"1131","PTPRA"
